indice_pilar,region,rank_2025,score_2025,rank_2024,score_2024,rank_2019,score_2019
IRESA,Amazonas,20,5.2,20,5.3,19,5.1
Calidad ambiental,Amazonas,20,4.3,20,4.3,21,3.7
Gobernanza Ambiental y gestión de riesgos,Amazonas,14,6.1,11,6.4,8,6.5
IRESA,Ancash,11,6.1,12,6.1,12,5.5
Calidad ambiental,Ancash,9,6.3,8,6.3,12,5.4
Gobernanza Ambiental y gestión de riesgos,Ancash,19,5.8,19,6,22,5.5
IRESA,Apurimac,15,5.7,18,5.6,14,5.4
Calidad ambiental,Apurimac,15,5.6,14,5.4,15,4.8
Gobernanza Ambiental y gestión de riesgos,Apurimac,18,5.8,21,5.7,12,6
IRESA,Arequipa,2,8.1,4,7.9,1,8
Calidad ambiental,Arequipa,3,8.6,3,8.6,1,8.8
Gobernanza Ambiental y gestión de riesgos,Arequipa,3,7.6,6,7.2,3,7.2
IRESA,Ayacucho,7,6.5,7,6.6,6,6.2
Calidad ambiental,Ayacucho,6,6.9,6,6.8,6,6.4
Gobernanza Ambiental y gestión de riesgos,Ayacucho,15,6,10,6.4,17,5.9
IRESA,Cajamarca,19,5.4,15,5.7,16,5.2
Calidad ambiental,Cajamarca,17,5.1,18,4.8,16,4.7
Gobernanza Ambiental y gestión de riesgos,Cajamarca,20,5.7,9,6.5,20,5.7
IRESA,Cusco,8,6.4,10,6.2,8,5.8
Calidad ambiental,Cusco,7,6.7,7,6.6,7,6
Gobernanza Ambiental y gestión de riesgos,Cusco,10,6.2,20,5.8,21,5.6
IRESA,Huancavelica,14,5.9,19,5.5,24,4.8
Calidad ambiental,Huancavelica,16,5.2,16,4.9,19,4.4
Gobernanza Ambiental y gestión de riesgos,Huancavelica,8,6.6,18,6.1,24,5.1
IRESA,Huanuco,24,4.7,21,5,23,4.8
Calidad ambiental,Huanuco,22,3.9,22,3.8,24,3.2
Gobernanza Ambiental y gestión de riesgos,Huanuco,23,5.5,16,6.2,10,6.3
IRESA,Ica,5,7.5,5,7.5,5,6.7
Calidad ambiental,Ica,5,7.6,5,7.7,5,6.9
Gobernanza Ambiental y gestión de riesgos,Ica,4,7.4,5,7.2,6,6.5
IRESA,Junin,17,5.5,16,5.6,18,5.2
Calidad ambiental,Junin,18,5,17,4.8,17,4.4
Gobernanza Ambiental y gestión de riesgos,Junin,16,6,12,6.4,16,5.9
IRESA,La Libertad,12,6,8,6.3,9,5.7
Calidad ambiental,La Libertad,12,6,13,5.8,10,5.5
Gobernanza Ambiental y gestión de riesgos,La Libertad,17,6,8,6.8,18,5.9
IRESA,Lambayeque,6,6.7,6,6.8,10,5.6
Calidad ambiental,Lambayeque,11,6.1,11,6,13,5.3
Gobernanza Ambiental y gestión de riesgos,Lambayeque,5,7.3,3,7.5,15,5.9
IRESA,Lima,3,8.05,3,7.9,3,7.7
Calidad ambiental,Lima,4,8.4,4,8.4,4,8
Gobernanza Ambiental y gestión de riesgos,Lima,2,7.7,4,7.4,2,7.5
IRESA,Lima Provincias,13,5.9,14,5.7,17,5.2
Calidad ambiental,Lima Provincias,14,5.6,15,5.2,18,4.4
Gobernanza Ambiental y gestión de riesgos,Lima Provincias,12,6.2,17,6.1,14,6
IRESA,Loreto,25,4.6,25,4.2,21,4.9
Calidad ambiental,Loreto,25,3.5,24,3.5,22,3.4
Gobernanza Ambiental y gestión de riesgos,Loreto,22,5.6,25,5,7,6.5
IRESA,Madre de Dios,23,4.8,24,4.6,11,5.6
Calidad ambiental,Madre de Dios,21,4,21,3.9,14,5
Gobernanza Ambiental y gestión de riesgos,Madre de Dios,21,5.6,24,5.3,11,6.1
IRESA,Moquegua,4,7.8,2,8,4,7.5
Calidad ambiental,Moquegua,2,8.7,1,8.8,2,8.2
Gobernanza Ambiental y gestión de riesgos,Moquegua,7,7,7,7.1,4,6.9
IRESA,Pasco,21,4.9,22,5,22,4.9
Calidad ambiental,Pasco,19,4.7,19,4.6,20,3.9
Gobernanza Ambiental y gestión de riesgos,Pasco,25,5.2,23,5.4,19,5.9
IRESA,Piura,10,6.2,11,6.1,13,5.4
Calidad ambiental,Piura,10,6.1,10,6,11,5.5
Gobernanza Ambiental y gestión de riesgos,Piura,9,6.3,15,6.2,23,5.4
IRESA,Puno,9,6.3,9,6.2,7,6.1
Calidad ambiental,Puno,8,6.4,9,6.2,8,5.8
Gobernanza Ambiental y gestión de riesgos,Puno,11,6.2,14,6.3,9,6.4
IRESA,San Martin,18,5.5,17,5.6,20,5
Calidad ambiental,San Martin,23,3.9,23,3.6,23,3.3
Gobernanza Ambiental y gestión de riesgos,San Martin,6,7.1,2,7.5,5,6.7
IRESA,Tacna,1,8.4,1,8.3,2,7.9
Calidad ambiental,Tacna,1,8.7,2,8.6,3,8.1
Gobernanza Ambiental y gestión de riesgos,Tacna,1,8.1,1,7.9,1,7.6
IRESA,Tumbes,16,5.7,13,5.8,15,5.4
Calidad ambiental,Tumbes,13,5.9,12,5.9,9,5.7
Gobernanza Ambiental y gestión de riesgos,Tumbes,24,5.5,22,6.7,25,5
IRESA,Ucayali,22,4.9,23,4.8,25,4.5
Calidad ambiental,Ucayali,24,3.6,25,3.2,25,3
Gobernanza Ambiental y gestión de riesgos,Ucayali,13,6.2,13,6.3,13,6
